Target,Comparison,q_value,group
11_12_DiHETrE,Chow control-FMT,0.016566666666666667,
12_13_DiHOME,Chow control-FMT,0.0,
12_13_DiHOME,Chow control-FMT_NGBB,0.0,
12_13_DiHOME,Chow control-NGBB,0.0,
12_13_DiHOME,Chow control-Placebo,0.0,
13_HODE,Chow control-FMT,0.029894736842105266,
15deoxy_delta_12_14_PGJ2,Chow control-NGBB,0.0032272727272727275,
15deoxy_delta_12_14_PGJ2,Chow control-Placebo,0.0,
1_LG_2_LG,Chow control-FMT_NGBB,0.016566666666666667,
9_HOTrE,Chow control-FMT,0.026371428571428573,
FA20.3_w3,Chow control-FMT,0.04187179487179487,FA
FA20.3_w3,Chow control-NGBB,0.016566666666666667,FA
FA20.3_w3,Chow control-Placebo,0.028783783783783785,FA
FA20.3_w9,Chow control-FMT_NGBB,0.015777777777777776,FA
FA20.4_w6,Chow control-NGBB,0.01136,FA
FA20.4_w6,Chow control-Placebo,0.026371428571428573,FA
FA22.4_w6,Chow control-FMT,0.0032272727272727275,FA
FA22.4_w6,Chow control-FMT_NGBB,0.0,FA
FA22.4_w6,Chow control-NGBB,0.0,FA
FA22.4_w6,Chow control-Placebo,0.0,FA
FA22.5_w6,Chow control-FMT,0.02761111111111111,FA
FA22.5_w6,Chow control-FMT_NGBB,0.01136,FA
FA22.5_w6,Chow control-NGBB,0.0,FA
FA22.5_w6,Chow control-Placebo,0.0,FA
LPE20.5,Chow control-FMT_NGBB,0.02366666666666667,LPE
LPI18.2,Chow control-FMT,0.0,LPI
LPI18.2,Chow control-FMT_NGBB,0.0,LPI
LPI18.2,Chow control-NGBB,0.0,LPI
LPI18.2,Chow control-Placebo,0.0,LPI
LPG14.0,Chow control-NGBB,0.0032272727272727275,LPG
LPG14.0,Chow control-Placebo,0.019968749999999997,LPG
LPG16.1,Chow control-NGBB,0.009260869565217392,LPG
LPG16.1,Chow control-Placebo,0.015777777777777776,LPG
cLPA18.2,Chow control-FMT_NGBB,0.0,cLPA
FA18.3_w6,Chow control-FMT,0.0,FA
FA18.3_w6,Chow control-FMT_NGBB,0.0,FA
FA18.3_w6,Chow control-NGBB,0.0,FA
FA18.3_w6,Chow control-Placebo,0.0,FA
cLPA20.4,Chow control-FMT_NGBB,0.019968749999999997,cLPA
14_15_DiHETrE,Chow control-FMT_NGBB,0.018859897976238677,
14_15_DiHETrE,Chow control-Placebo,0.013476697052007916,
14_15_DiHETrE,Chow control-FMT,0.021253256547374193,
14_15_DiHETrE,Chow control-NGBB,0.013476697052007916,
1_OG_2_OG,Chow control-Placebo,0.03808200912494176,
9_10_DiHOME,Chow control-FMT_NGBB,0.00576622921257391,
9_10_DiHOME,Chow control-Placebo,0.006666069569801697,
9_10_DiHOME,Chow control-FMT,0.0056155026657786775,
9_10_DiHOME,Chow control-NGBB,0.006666069569801697,
9_HODE,Chow control-FMT,0.03652903469079939,
FA18.2_w6,Chow control-FMT_NGBB,0.0056155026657786775,FA
FA18.2_w6,Chow control-Placebo,0.006666069569801697,FA
FA18.2_w6,Chow control-FMT,0.009741075917546504,FA
FA18.2_w6,Chow control-NGBB,0.009741075917546504,FA
FA18.3,Chow control-FMT_NGBB,0.0056155026657786775,FA
FA18.3,Chow control-Placebo,0.009741075917546504,FA
FA18.3,Chow control-FMT,0.0056155026657786775,FA
FA18.3,Chow control-NGBB,0.0056155026657786775,FA
FA22.6_w3,Chow control-NGBB,0.023564000548999434,FA
FA18.3_w3,Chow control-FMT_NGBB,0.0056155026657786775,FA
FA18.3_w3,Chow control-Placebo,0.0056155026657786775,FA
FA18.3_w3,Chow control-FMT,0.0056155026657786775,FA
FA18.3_w3,Chow control-NGBB,0.0056155026657786775,FA
LPE18.3,Chow control-FMT_NGBB,0.02145264804298872,LPE
cLPA18.1,Chow control-Placebo,0.03352141991166323,cLPA
cLPA18.1,Chow control-NGBB,0.023564000548999434,cLPA
cLPA18.0,Chow control-FMT_NGBB,0.023564000548999434,cLPA
Sphingosine1P16.1,Chow control-Placebo,0.023564000548999434,Sphingosine
Sphingosine1P16.1,Chow control-FMT,0.03652903469079939,Sphingosine
Sphingosine1P16.1,Chow control-NGBB,0.016346932459951224,Sphingosine
LPE16.0,Chow control-NGBB,0.03352141991166323,LPE
cLPA14.0,Chow control-Placebo,0.018859897976238677,cLPA
cLPA14.0,Chow control-NGBB,0.02862506297897594,cLPA
